runId,frame,focuser,width,height,pixelScale,detected,psfAccepted,psfFitFailed,saturated,hotpixelCount,hfrMedian,hfrMad,fwhmPxMedian,fwhmPxMad,fwhmPxP05,fwhmPxP95,fwhmPxMax,fwhmArcsecMedian,eccMedian,r2Median,scatterSD,detectMsNoPsf,detectMsWithPsf,psfMs
CWhiteFocus/AutoFocus_20220429_000244/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser20500.fits,20500,9576,6388,1.3257,3642,3258,310,79,113090,1.304822,0.101114,2.188571,0.135774,2.029057,2.543459,3.837686,2.901468,0.462035,0.984444,0.109636,3536.6,21801.7,18265.0
FlyData/AutoFocus_20260607_030642/attempt01,06_Frame00_BitDepth16_Bayered0_Focuser889.fits,889,3830,2555,0.6600,319,291,28,0,16420,1.557591,0.218382,2.742275,0.144524,2.492107,2.982698,3.116166,1.810031,0.353038,0.969132,0.144429,575.3,3539.0,2963.8
LinwoodFocus/AutoFocus_20220329_211008/attempt01,01_Frame00_BitDepth16_Bayered0_Focuser21209.xisf,21209,9576,6388,0.2770,23,15,8,0,51695,3.556529,0.536186,7.119079,0.383219,6.751348,7.835134,8.084361,1.971872,0.355199,0.961952,0.372741,3061.7,3774.7,713.0
Panos/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser32396.fits,32396,6252,4176,1.9389,350,163,187,0,9303,1.808564,0.367669,3.165806,0.349727,2.757851,4.097984,4.709930,6.138146,0.528865,0.944693,0.149288,1390.3,5195.1,3804.7
SorenVance/AutoFocus_20260711_014141/attempt01,06_Frame00_BitDepth16_Bayered1_Focuser28495.xisf,28495,6248,4176,2.0303,518,366,152,0,44946,1.611184,0.307151,3.690923,0.569511,2.943442,4.521726,5.237846,7.493498,0.442576,0.953238,0.492644,6208.5,8232.0,2023.5
bobp/AutoFocus_20260626_215910/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser5684.xisf,5684,5936,3966,1.5237,99,85,13,1,27472,1.748573,0.244660,3.807234,0.305444,3.236279,4.335292,4.655114,5.801025,0.355757,0.972712,0.339486,5609.4,7393.7,1784.3
bobp_m101/AutoFocus_20260626_225408/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser5682.xisf,5682,5936,3966,1.5237,138,123,15,0,27127,1.855928,0.283518,3.875407,0.363749,3.311658,4.486797,4.651158,5.904899,0.374169,0.972086,0.363619,5552.6,7685.5,2132.9
caboose/AutoFocus_20220803_211249/attempt01,04_Frame00_BitDepth16_Bayered0_Focuser7125.fits,7125,6248,4176,1.0862,83,8,75,0,41993,2.052697,0.169978,3.997486,0.151688,3.348542,4.307326,4.307326,4.342119,0.721856,0.937253,0.368233,1286.7,5101.4,3814.7
cwhite_2026/AutoFocus_20260621_214312/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser2701.fits,2701,9576,6388,0.8803,431,396,34,1,2055372,1.882554,0.314867,3.467582,0.326132,3.011835,4.488413,5.070619,3.052557,0.498723,0.949316,0.213797,3205.5,6722.0,3516.5
fmeschia_Focus/AutoFocus_20220422_220015/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser4409.xisf,4409,4144,2822,1.0495,123,115,6,2,763379,1.673075,0.287680,2.975521,0.167858,2.597452,3.177761,3.299654,3.122682,0.366732,0.968427,0.186594,726.1,4011.4,3285.3
