runId,frame,focuser,width,height,pixelScale,detected,psfAccepted,psfFitFailed,saturated,hotpixelCount,hfrMedian,hfrMad,fwhmPxMedian,fwhmPxMad,fwhmPxP05,fwhmPxP95,fwhmPxMax,fwhmArcsecMedian,eccMedian,r2Median,scatterSD,detectMsNoPsf,detectMsWithPsf,psfMs
CWhiteFocus/AutoFocus_20220429_000244/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser20500.fits,20500,9576,6388,1.3257,3642,3256,312,79,113090,1.304822,0.101114,2.211819,0.126475,2.056754,2.566749,3.759805,2.932288,0.475970,0.984709,0.107741,3329.6,5668.6,2339.1
FlyData/AutoFocus_20260607_030642/attempt01,06_Frame00_BitDepth16_Bayered0_Focuser889.fits,889,3830,2555,0.6600,319,292,27,0,16420,1.557591,0.218382,2.699304,0.139381,2.452285,2.935919,3.123204,1.781668,0.355363,0.969055,0.141553,579.7,1315.5,735.8
LinwoodFocus/AutoFocus_20220329_211008/attempt01,01_Frame00_BitDepth16_Bayered0_Focuser21209.xisf,21209,9576,6388,0.2770,23,15,8,0,51695,3.556529,0.536186,7.155328,0.606964,6.669036,7.902282,8.096167,1.981913,0.346743,0.962315,0.358928,3126.8,3246.4,119.5
Panos/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser32396.fits,32396,6252,4176,1.9389,350,163,187,0,9303,1.808564,0.367669,3.194653,0.380833,2.751288,4.272697,5.523854,6.194078,0.551852,0.943377,0.156729,1355.4,2256.5,901.1
SorenVance/AutoFocus_20260711_014141/attempt01,06_Frame00_BitDepth16_Bayered1_Focuser28495.xisf,28495,6248,4176,2.0303,518,367,151,0,44946,1.611184,0.307151,3.690923,0.577894,2.939843,4.548122,5.237846,7.493498,0.441514,0.953562,0.501954,6423.6,7417.7,994.1
bobp/AutoFocus_20260626_215910/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser5684.xisf,5684,5936,3966,1.5237,99,85,13,1,27472,1.748573,0.244660,3.796791,0.319115,3.251668,4.313015,4.635579,5.785114,0.355241,0.972674,0.335268,6090.5,6735.5,645.0
bobp_m101/AutoFocus_20260626_225408/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser5682.xisf,5682,5936,3966,1.5237,138,124,14,0,27127,1.855928,0.283518,3.906985,0.343816,3.302954,4.482800,4.653051,5.953014,0.374532,0.972934,0.360542,6153.2,6650.1,496.9
caboose/AutoFocus_20220803_211249/attempt01,04_Frame00_BitDepth16_Bayered0_Focuser7125.fits,7125,6248,4176,1.0862,83,8,75,0,41993,2.052697,0.169978,4.079442,0.276557,3.512408,4.418965,4.418965,4.431141,0.733985,0.937352,0.395328,1411.9,2141.0,729.1
cwhite_2026/AutoFocus_20260621_214312/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser2701.fits,2701,9576,6388,0.8803,431,394,36,1,2055372,1.882554,0.314867,3.459568,0.329765,2.996711,4.476333,5.155878,3.045502,0.502916,0.949329,0.220780,3256.3,4097.3,841.0
fmeschia_Focus/AutoFocus_20220422_220015/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser4409.xisf,4409,4144,2822,1.0495,123,115,6,2,763379,1.673075,0.287680,2.912479,0.153034,2.550952,3.115326,3.289093,3.056522,0.364502,0.968313,0.171561,651.9,1282.9,631.0
lumos/AutoFocus_20260708_231255/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser264258.xisf,264258,9576,6388,2.3502,146,85,57,4,28224612,1.356727,0.139524,2.207111,0.223824,1.953810,3.019288,3.698693,5.187083,0.571090,0.954460,0.193463,3094.1,3960.4,866.3
mccomiskey/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser18658.xisf,18658,11664,8750,0.2885,5455,2896,2551,8,92824,3.337676,0.479915,6.748238,0.450451,6.077171,7.898574,9.640592,1.947036,0.403784,0.956897,0.352034,5281.5,9596.5,4315.1
mufti/AutoFocus_20260607_030642-20260615T214722Z-3-001/attempt01,04_Frame00_BitDepth16_Bayered0_Focuser2625.fits,2625,9576,6388,0.6803,487,255,226,7,5647999,2.919554,0.526385,5.378588,0.644798,4.700487,6.785520,8.590437,3.659118,0.756915,0.950493,0.216602,3218.5,4081.5,863.0
