runId,frame,focuser,width,height,pixelScale,detected,psfAccepted,psfFitFailed,saturated,hotpixelCount,hfrMedian,hfrMad,fwhmPxMedian,fwhmPxMad,fwhmPxP05,fwhmPxP95,fwhmPxMax,fwhmArcsecMedian,eccMedian,r2Median,scatterSD,detectMsNoPsf,detectMsWithPsf,psfMs
CWhiteFocus/AutoFocus_20220429_000244/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser20500.fits,20500,9576,6388,1.3257,4768,4500,268,26,113090,1.439247,0.151534,2.669557,0.252618,2.333057,3.114589,8.386271,3.539128,0.367827,0.967771,0.256940,3112.5,4866.9,1754.3
FlyData/AutoFocus_20260607_030642/attempt01,06_Frame00_BitDepth16_Bayered0_Focuser889.fits,889,3830,2555,0.6600,280,239,41,0,16420,1.729422,0.292408,3.348387,0.278080,2.824048,3.795199,4.444479,2.210094,0.359773,0.958902,0.298262,476.1,711.3,235.2
LinwoodFocus/AutoFocus_20220329_211008/attempt01,01_Frame00_BitDepth16_Bayered0_Focuser21209.xisf,21209,9576,6388,0.2770,21,15,6,0,51695,3.610637,0.560002,7.251984,0.501575,6.705849,8.200983,8.211315,2.008685,0.346915,0.966497,0.350646,2869.8,2732.4,-137.4
Panos/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser32396.fits,32396,6252,4176,1.9389,350,175,175,0,9303,1.852872,0.396471,3.373825,0.355575,2.854951,4.624526,6.815684,6.541474,0.505495,0.948136,0.220570,1177.1,1423.0,245.9
SorenVance/AutoFocus_20260711_014141/attempt01,06_Frame00_BitDepth16_Bayered1_Focuser28495.xisf,28495,6248,4176,2.0303,518,367,151,0,44946,1.611184,0.307151,3.683057,0.592366,2.944549,4.568847,5.237846,7.477529,0.443586,0.953071,0.503739,6138.1,6396.6,258.5
bobp/AutoFocus_20260626_215910/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser5684.xisf,5684,5936,3966,1.5237,99,85,14,1,27472,1.748573,0.244660,3.801471,0.352586,3.221876,4.377512,7.351880,5.792244,0.364198,0.975377,0.523732,5537.5,5722.2,184.7
bobp_m101/AutoFocus_20260626_225408/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser5682.xisf,5682,5936,3966,1.5237,138,124,14,0,27127,1.855928,0.283518,3.924477,0.346267,3.275041,4.498803,4.692626,5.979667,0.381255,0.973150,0.368845,5533.9,5819.2,285.3
caboose/AutoFocus_20220803_211249/attempt01,04_Frame00_BitDepth16_Bayered0_Focuser7125.fits,7125,6248,4176,1.0862,67,8,59,0,41993,2.110565,0.146964,4.494834,0.227782,3.817423,4.648471,4.648471,4.882345,0.724098,0.921026,0.140687,1229.5,1345.9,116.4
cwhite_2026/AutoFocus_20260621_214312/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser2701.fits,2701,9576,6388,0.8803,254,246,8,1,2055372,2.085377,0.290475,3.915567,0.334571,3.470786,4.871053,5.595542,3.446924,0.479286,0.968343,0.194759,2740.8,3301.2,560.4
fmeschia_Focus/AutoFocus_20220422_220015/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser4409.xisf,4409,4144,2822,1.0495,84,84,0,1,763379,1.971319,0.229171,3.637256,0.168751,3.329553,4.014771,4.579472,3.817145,0.344571,0.980294,0.220799,615.6,784.9,169.3
lumos/AutoFocus_20260708_231255/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser264258.xisf,264258,9576,6388,2.3502,213,173,40,0,28224612,1.466857,0.180839,2.696960,0.327534,2.282085,3.397298,4.029374,6.338310,0.473446,0.957718,0.276022,2956.2,3117.7,161.5
mccomiskey/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser18658.xisf,18658,11664,8750,0.2885,5393,2949,2444,7,92824,3.351689,0.484547,6.873451,0.470922,6.083769,8.035307,12.576970,1.983164,0.404716,0.958991,0.418476,4874.0,7198.1,2324.1
mufti/AutoFocus_20260607_030642-20260615T214722Z-3-001/attempt01,04_Frame00_BitDepth16_Bayered0_Focuser2625.fits,2625,9576,6388,0.6803,490,298,192,5,5647999,2.952540,0.493988,5.658670,0.694383,4.860498,7.102404,9.514271,3.849661,0.720875,0.953600,0.241639,2863.6,3052.1,188.5
muggsie/AutoFocus_20220526_025003/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser46245.fits,46245,4144,2822,1.0336,663,633,30,8,1569739,1.700260,0.223263,3.121132,0.214554,2.798947,3.521410,11.203493,3.225865,0.370912,0.971359,0.407420,574.6,854.0,279.4
standard_example1/attempt01,04_Frame00_BitDepth16_Bayered0_Focuser2149.xisf,2149,9576,6388,1.1048,1125,953,172,0,14667,1.538269,0.210515,2.922718,0.263528,2.578865,3.333655,5.038314,3.228960,0.421149,0.958816,0.229826,2726.5,2976.3,249.8
timmer/5 AutoFocus_20260614_021244/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser662.fits,662,6248,4176,5.9658,5581,4586,995,0,183122,1.915666,0.328329,4.073394,0.442025,3.332011,4.842267,6.471032,24.301104,0.395708,0.966383,0.455999,6368.8,8645.7,2276.9
toml999/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser4153.fits,4153,4656,3520,0.7394,1929,1723,206,13,778479,2.118686,0.242567,3.929361,0.226785,3.576751,4.349160,8.438820,2.905526,0.497862,0.966154,0.242368,824.5,1415.4,590.9
uneven/attempt01,06_Frame00_BitDepth16_Bayered0_Focuser56129.xisf,56129,9576,6388,0.7115,908,824,84,5,43909,1.896600,0.252532,3.702934,0.262901,3.241129,4.062251,5.496730,2.634708,0.443017,0.963403,0.207974,2780.7,3013.5,232.8
